level,group_dimension,group_value,embedding_dim_name,count,row_count,missing_percent,mean,std,min,median,max
file,known_origin_label,ai_synthetic,ssl_emb_256,69,69,0.0,-0.048308764808335417,0.029256330165002092,-0.0996723100543022,-0.0503704249858856,0.0096303690224885
file,known_origin_label,ai_synthetic,ssl_emb_257,69,69,0.0,-0.015440505360712032,0.01835594208563955,-0.0667525082826614,-0.0123987402766942,0.0122682517394423
file,known_origin_label,ai_synthetic,ssl_emb_258,69,69,0.0,0.007389388767583956,0.017437624398399434,-0.0325184240937233,0.0085490178316831,0.0471866242587566
file,known_origin_label,ai_synthetic,ssl_emb_259,69,69,0.0,-0.002029112177863843,0.024429749827864555,-0.053225602954626,-0.0074763353914022,0.0508396476507186
file,known_origin_label,ai_synthetic,ssl_emb_260,69,69,0.0,0.01508842746345863,0.011778075900049832,-0.0097488211467862,0.0169022753834724,0.0513371303677558
file,known_origin_label,ai_synthetic,ssl_emb_261,69,69,0.0,0.008230064413721132,0.011311014653760798,-0.0137781649827957,0.0074192201718688,0.0349039658904075
file,known_origin_label,ai_synthetic,ssl_emb_262,69,69,0.0,-0.004821871519105604,0.011724247710923147,-0.0316874198615551,-0.0024467587936669,0.0177167616784572
file,known_origin_label,ai_synthetic,ssl_emb_263,69,69,0.0,-0.009476566479703326,0.0565675912608091,-0.2004027068614959,-0.0085544250905513,0.0844322368502616
file,known_origin_label,ai_synthetic,ssl_emb_264,69,69,0.0,-0.010336966433501581,0.015918801244438986,-0.0479458905756473,-0.0086031500250101,0.0168493073433637
file,known_origin_label,ai_synthetic,ssl_emb_265,69,69,0.0,0.012977481608581042,0.025697267188223804,-0.0234546288847923,0.0039733755402266,0.068756565451622
file,known_origin_label,ai_synthetic,ssl_emb_266,69,69,0.0,0.015927672877981976,0.02275737085886146,-0.0252186637371778,0.0152659211307764,0.0668991208076477
file,known_origin_label,ai_synthetic,ssl_emb_267,69,69,0.0,-0.022772686250180477,0.01580428666601607,-0.0530131980776786,-0.0267657302320003,0.029236314818263
file,known_origin_label,ai_synthetic,ssl_emb_268,69,69,0.0,0.009489817210756556,0.021847570285065322,-0.0359923914074897,0.0085201533511281,0.0583491474390029
file,known_origin_label,ai_synthetic,ssl_emb_269,69,69,0.0,-0.00918239290130903,0.018365080176378522,-0.0410321205854415,-0.0063569685444235,0.0258639715611934
file,known_origin_label,ai_synthetic,ssl_emb_270,69,69,0.0,-0.01469115174436209,0.01538179158894811,-0.0460398644208908,-0.0145657965913414,0.0201139096170663
file,known_origin_label,ai_synthetic,ssl_emb_271,69,69,0.0,-0.5244160488895748,0.18637265351399437,-1.0377864837646484,-0.5133411288261414,-0.1006731688976287
file,known_origin_label,ai_synthetic,ssl_emb_272,69,69,0.0,-0.01828303831491103,0.014112521237442752,-0.0470646619796752,-0.0189411379396915,0.0121707096695899
file,known_origin_label,ai_synthetic,ssl_emb_273,69,69,0.0,0.027367710652153723,0.012711465347227894,0.0019834239501506,0.0261516943573951,0.0605335123836994
file,known_origin_label,ai_synthetic,ssl_emb_274,69,69,0.0,-0.010605727399166227,0.027004704260069737,-0.0619456395506858,-0.015628470107913,0.0623031482100486
file,known_origin_label,ai_synthetic,ssl_emb_275,69,69,0.0,-0.03379068661150453,0.037731074480823024,-0.1120311170816421,-0.0204898007214069,0.0304432120174169
file,known_origin_label,ai_synthetic,ssl_emb_276,69,69,0.0,0.0016290419962783518,0.02456611192020926,-0.0506486408412456,-0.0011574906529858,0.0548845715820789
file,known_origin_label,ai_synthetic,ssl_emb_277,69,69,0.0,0.027186457708012274,0.015986109692956805,-0.0032353184651583,0.0266806073486804,0.0692493617534637
file,known_origin_label,ai_synthetic,ssl_emb_278,69,69,0.0,-0.027994978936739977,0.025331312390225545,-0.0801956877112388,-0.0185228064656257,0.0072374888695776
file,known_origin_label,ai_synthetic,ssl_emb_279,69,69,0.0,0.012133172867596931,0.014204263215928695,-0.0200799591839313,0.0119031453505158,0.0417021699249744
file,known_origin_label,ai_synthetic,ssl_emb_280,69,69,0.0,-0.006942338698233178,0.0541400398331952,-0.1146473363041877,0.0160846076905727,0.0669373497366905
file,known_origin_label,ai_synthetic,ssl_emb_281,69,69,0.0,-0.00896829567036413,0.011470876293308813,-0.0436619818210601,-0.0059569915756583,0.0134923197329044
file,known_origin_label,ai_synthetic,ssl_emb_282,69,69,0.0,0.005017268500732886,0.025641041451585547,-0.0357508175075054,0.0035961023531854,0.0554580353200435
file,known_origin_label,ai_synthetic,ssl_emb_283,69,69,0.0,0.014382520330453154,0.03479852652126704,-0.0413241796195507,0.0140779204666614,0.0739553272724151
file,known_origin_label,ai_synthetic,ssl_emb_284,69,69,0.0,0.030430895198757406,0.018648884791871698,-0.0059777591377496,0.0310030821710824,0.0768481791019439
file,known_origin_label,ai_synthetic,ssl_emb_285,69,69,0.0,-0.010401890116198659,0.011854216581846502,-0.0354487411677837,-0.0098045291379094,0.012014390900731
file,known_origin_label,ai_synthetic,ssl_emb_286,69,69,0.0,-0.013170106835035668,0.01767607276053568,-0.0412958487868309,-0.01317491941154,0.0334845334291458
file,known_origin_label,ai_synthetic,ssl_emb_287,69,69,0.0,-0.026810967820431634,0.044377314521823606,-0.1608697175979614,-0.0261122658848762,0.0647638887166976
file,known_origin_label,ai_synthetic,ssl_emb_288,69,69,0.0,-0.01266105004765118,0.017179708574306982,-0.0459529757499694,-0.0115826064720749,0.0300437230616807
file,known_origin_label,ai_synthetic,ssl_emb_289,69,69,0.0,-0.03209282709218129,0.05086271697698344,-0.1522111445665359,-0.0068129100836813,0.0213591810315847
file,known_origin_label,ai_synthetic,ssl_emb_290,69,69,0.0,0.00946490468872385,0.02569764028937725,-0.0571611076593399,0.0149128912016749,0.0588367916643619
file,known_origin_label,ai_synthetic,ssl_emb_291,69,69,0.0,-0.0104676530032863,0.020123577073807568,-0.050149105489254,-0.012638434767723,0.034787368029356
file,known_origin_label,ai_synthetic,ssl_emb_292,69,69,0.0,0.04436917600316409,0.016128516775891964,0.0114723751321434,0.0457149371504783,0.0883786156773567
file,known_origin_label,ai_synthetic,ssl_emb_293,69,69,0.0,-0.14119669876695753,0.08727718023170607,-0.3382754325866699,-0.1471762359142303,0.0202453508973121
file,known_origin_label,ai_synthetic,ssl_emb_294,69,69,0.0,0.007666561465737398,0.030498899256303207,-0.0423253364861011,-0.0001077359775081,0.1072213351726532
file,known_origin_label,ai_synthetic,ssl_emb_295,69,69,0.0,0.002591493288122545,0.02398393711671077,-0.0496384836733341,0.00344656733796,0.0533712059259414
file,known_origin_label,ai_synthetic,ssl_emb_296,69,69,0.0,-0.020703612612492886,0.027491731678844195,-0.0777488201856613,-0.009489350952208,0.0233214758336544
file,known_origin_label,ai_synthetic,ssl_emb_297,69,69,0.0,-0.01947396849109146,0.011876226496139793,-0.0441490709781646,-0.0203741639852523,0.0035399151965975
file,known_origin_label,ai_synthetic,ssl_emb_298,69,69,0.0,-0.048307712048130155,0.015162777416460034,-0.0743305534124374,-0.0521919466555118,-0.0020589306950569
file,known_origin_label,ai_synthetic,ssl_emb_299,69,69,0.0,0.0165984604230987,0.010317079223271816,-0.0078108836896717,0.0170232485979795,0.0390138998627662
file,known_origin_label,ai_synthetic,ssl_emb_300,69,69,0.0,0.008641067039655106,0.011700768850039789,-0.0156470462679862,0.0079175643622875,0.0350333862006664
file,known_origin_label,ai_synthetic,ssl_emb_301,69,69,0.0,-0.016553909036978735,0.022253319080161663,-0.0540800653398036,-0.0186740588396787,0.0416674986481666
file,known_origin_label,ai_synthetic,ssl_emb_302,69,69,0.0,0.0007955302647040803,0.01261769858760375,-0.0330033116042614,8.173470268957317e-05,0.0356820113956928
file,known_origin_label,ai_synthetic,ssl_emb_303,69,69,0.0,-0.016716502702826992,0.012177061280218567,-0.0367361344397068,-0.0155291855335235,0.0113148977980017
file,known_origin_label,ai_synthetic,ssl_emb_304,69,69,0.0,-0.0900782514903424,0.04199168830041131,-0.1916916370391845,-0.088420033454895,-0.0066158827394247
file,known_origin_label,ai_synthetic,ssl_emb_305,69,69,0.0,0.010089188351032665,0.015087591952842063,-0.0213386267423629,0.0118010472506284,0.0396439805626869
file,known_origin_label,ai_synthetic,ssl_emb_306,69,69,0.0,0.03452542516490631,0.03298740657616104,-0.0203896891325712,0.0312610976397991,0.1076416969299316
file,known_origin_label,ai_synthetic,ssl_emb_307,69,69,0.0,0.009500032280693222,0.028270721681945738,-0.0569389760494232,0.0159781575202941,0.0519229397177696
file,known_origin_label,ai_synthetic,ssl_emb_308,69,69,0.0,-0.007493670780736376,0.010658008186929887,-0.0335161089897155,-0.0083108954131603,0.0198724102228879
file,known_origin_label,ai_synthetic,ssl_emb_309,69,69,0.0,0.014674384061040824,0.01788012737358419,-0.0223159063607454,0.0121670616790652,0.0695894882082939
file,known_origin_label,ai_synthetic,ssl_emb_310,69,69,0.0,-0.01574440177743476,0.017758087183175283,-0.0588854514062404,-0.0142508866265416,0.0147548597306013
file,known_origin_label,ai_synthetic,ssl_emb_311,69,69,0.0,-0.013273305416763465,0.019143478682900315,-0.052604641765356,-0.0146121755242347,0.0190076511353254
file,known_origin_label,ai_synthetic,ssl_emb_312,69,69,0.0,-0.03374903481345634,0.020550672409421558,-0.0774942114949226,-0.0384356565773487,0.0100602591410279
file,known_origin_label,ai_synthetic,ssl_emb_313,69,69,0.0,0.015671458657142544,0.01332422523335072,-0.008340585976839,0.0158960111439228,0.0479268543422222
file,known_origin_label,ai_synthetic,ssl_emb_314,69,69,0.0,-0.0012964995264116055,0.02154093264567278,-0.0330357775092124,-0.0038395426236093,0.0464674159884452
file,known_origin_label,ai_synthetic,ssl_emb_315,69,69,0.0,-0.015292621895913816,0.01625492149410281,-0.0521578043699264,-0.0116316592320799,0.0145729640498757
file,known_origin_label,ai_synthetic,ssl_emb_316,69,69,0.0,-0.009191591048611485,0.015787752538996006,-0.045443020761013,-0.0094642983749508,0.0255641248077154
file,known_origin_label,ai_synthetic,ssl_emb_317,69,69,0.0,0.009388418944950698,0.014383327745478883,-0.0206366535276174,0.0098226191475987,0.0393195115029811
file,known_origin_label,ai_synthetic,ssl_emb_318,69,69,0.0,0.015435763381664474,0.010838296253065184,-0.0098528098315,0.0145715400576591,0.0430709272623062
file,known_origin_label,ai_synthetic,ssl_emb_319,69,69,0.0,0.02862156074801186,0.01872702706963865,-0.0292491987347602,0.0357016697525978,0.0526861809194088
file,known_origin_label,ai_synthetic,ssl_emb_320,69,69,0.0,0.04179303732066263,0.013956487193406947,0.0023667146451771,0.0437257327139377,0.0672420784831047
file,known_origin_label,ai_synthetic,ssl_emb_321,69,69,0.0,-0.06096637136289386,0.03088311615064199,-0.1347338110208511,-0.0581017881631851,-0.0015283455140888
file,known_origin_label,ai_synthetic,ssl_emb_322,69,69,0.0,-0.004252853632298883,0.014996816602168969,-0.0392700172960758,-0.0051064044237136,0.0276319403201341
file,known_origin_label,ai_synthetic,ssl_emb_323,69,69,0.0,0.026393120132379905,0.019742146640901292,-0.0134979207068681,0.0268127340823411,0.0610817521810531
file,known_origin_label,ai_synthetic,ssl_emb_324,69,69,0.0,-0.037291604721837665,0.01598706687112153,-0.0724631398916244,-0.0353742018342018,-0.0077622546814382
file,known_origin_label,ai_synthetic,ssl_emb_325,69,69,0.0,-0.009847106603725807,0.016605073167363503,-0.0572879947721958,-0.0085325166583061,0.0201540067791938
