level,comparison_name,level_a,level_b,embedding_dim_name,group_a_count,group_b_count,group_a_mean,group_b_mean,group_a_median,group_b_median,abs_mean_difference,effect_size,missing_percent,direction,interpretation_note
segment,seg_clean_vs_replay_inherited,clean,replay,ssl_emb_045,1024,936,0.02525300091201462,0.027308377352555015,0.025636668317019898,0.0287010362371802,0.0020553764405403935,0.08575407678347269,0.0,higher_in_group_b,weak descriptive separation; not a standalone detector; requires validation in Phase 8E
segment,seg_clean_vs_replay_inherited,clean,replay,ssl_emb_046,1024,936,-0.007997789389620797,0.0036393443961779265,-0.00822899630293245,0.0030530631775036003,0.011637133785798724,0.5804267131804327,0.0,higher_in_group_b,possible candidate for later modeling; descriptive only; requires validation in Phase 8E
segment,seg_clean_vs_replay_inherited,clean,replay,ssl_emb_047,1024,936,-0.02484271180871641,-0.011666955678008819,-0.024274774827063,-0.0122556504793465,0.01317575613070759,0.6781996742691304,0.0,higher_in_group_b,possible candidate for later modeling; descriptive only; requires validation in Phase 8E
segment,seg_clean_vs_replay_inherited,clean,replay,ssl_emb_048,1024,936,-0.024881980433328003,-0.08525589704743486,-0.02507665753364555,-0.0847205966711044,0.060373916614106855,0.65662658578798,0.0,higher_in_group_a,possible candidate for later modeling; descriptive only; requires validation in Phase 8E
segment,seg_clean_vs_replay_inherited,clean,replay,ssl_emb_049,1024,936,0.014720205304534748,0.008218594385660732,0.0136362626217305,0.00799104664474725,0.0065016109188740165,0.3635225305027864,0.0,higher_in_group_a,weak descriptive separation; not a standalone detector; requires validation in Phase 8E
segment,seg_clean_vs_replay_inherited,clean,replay,ssl_emb_050,1024,936,0.026896419381653647,0.1189264868190727,0.0296656750142574,0.11689923331141469,0.09203006743741905,1.36669456983216,0.0,higher_in_group_b,embedding dimension shows descriptive separation; possible candidate for later modeling; not a standalone detector
segment,seg_clean_vs_replay_inherited,clean,replay,ssl_emb_051,1024,936,0.018415510916842206,0.004859801773962417,0.0187813956290483,0.005260031437501251,0.013555709142879789,0.6682253020696869,0.0,higher_in_group_a,possible candidate for later modeling; descriptive only; requires validation in Phase 8E
segment,seg_clean_vs_replay_inherited,clean,replay,ssl_emb_052,1024,936,-0.0055493545995268685,-0.0438823094655318,-0.00482814991846675,-0.0420846696943044,0.03833295486600494,1.756576022627029,0.0,higher_in_group_a,embedding dimension shows descriptive separation; possible candidate for later modeling; not a standalone detector
segment,seg_clean_vs_replay_inherited,clean,replay,ssl_emb_053,1024,936,-0.024821532697693237,0.0015939179811617073,-0.027148329652845797,0.000151849235408,0.026415450678854945,1.056597394781812,0.0,higher_in_group_b,embedding dimension shows descriptive separation; possible candidate for later modeling; not a standalone detector
segment,seg_clean_vs_replay_inherited,clean,replay,ssl_emb_054,1024,936,-0.016124244161293398,-0.002507573761078394,-0.017568093724548747,-0.00312021945137525,0.013616670400215004,0.7213134240105852,0.0,higher_in_group_b,possible candidate for later modeling; descriptive only; requires validation in Phase 8E
segment,seg_clean_vs_replay_inherited,clean,replay,ssl_emb_055,1024,936,-0.028767506972059174,0.010573720283699758,-0.0282486630603671,0.0081264832988381,0.039341227255758934,1.6251701004945471,0.0,higher_in_group_b,embedding dimension shows descriptive separation; possible candidate for later modeling; not a standalone detector
segment,seg_clean_vs_replay_inherited,clean,replay,ssl_emb_056,1024,936,-0.027084229293686552,0.015295149045989513,-0.02887164335697885,0.01075706072151655,0.04237937833967607,1.315486545945983,0.0,higher_in_group_b,embedding dimension shows descriptive separation; possible candidate for later modeling; not a standalone detector
