level,group_dimension,group_value,embedding_dim_name,count,row_count,missing_percent,mean,std,min,median,max
segment,known_manipulation_labels,replay_rerecorded,ssl_emb_066,936,936,0.0,0.025938189565850804,0.0260889408315988,-0.060995876789093,0.02621964272111645,0.1213927045464515
segment,known_manipulation_labels,replay_rerecorded,ssl_emb_067,936,936,0.0,-0.010995288148539919,0.020201300776675077,-0.1247446238994598,-0.0102491904981434,0.054063718765974
segment,known_manipulation_labels,replay_rerecorded,ssl_emb_068,936,936,0.0,0.016119221835770355,0.017505829361918253,-0.0552235059440135,0.016418094746768398,0.0880312621593475
segment,known_manipulation_labels,replay_rerecorded,ssl_emb_069,936,936,0.0,-0.03673341419891161,0.023816359892993424,-0.1409248560667038,-0.0372302290052175,0.0412749573588371
segment,known_manipulation_labels,replay_rerecorded,ssl_emb_070,936,936,0.0,0.05097394431442462,0.022655772663870758,-0.0808041617274284,0.051934868097305256,0.1266127526760101
segment,known_manipulation_labels,replay_rerecorded,ssl_emb_071,936,936,0.0,0.19554151386872923,0.17577229572439615,-0.2013340294361114,0.16879941523075098,0.910155475139618
segment,known_manipulation_labels,replay_rerecorded,ssl_emb_072,936,936,0.0,-0.01446239282087967,0.022501793416958696,-0.1014732643961906,-0.01305837836116545,0.0600328594446182
segment,known_manipulation_labels,replay_rerecorded,ssl_emb_073,936,936,0.0,0.01840056307559992,0.021154323979606975,-0.0500013530254364,0.01922364626079795,0.1195989176630973
segment,known_manipulation_labels,replay_rerecorded,ssl_emb_074,936,936,0.0,0.013261216380257778,0.02043052368836519,-0.0617019496858119,0.01346709346398705,0.0742901191115379
segment,known_manipulation_labels,replay_rerecorded,ssl_emb_075,936,936,0.0,-0.025375390522539273,0.014161994237620233,-0.0744750872254371,-0.025713734328746747,0.0746344402432441
segment,known_manipulation_labels,replay_rerecorded,ssl_emb_076,936,936,0.0,-0.00699402500046453,0.0164539603384609,-0.0595053769648075,-0.00625890423543745,0.0392623431980609
segment,known_manipulation_labels,replay_rerecorded,ssl_emb_077,936,936,0.0,0.2274270240616941,0.08123684074603171,-0.0404400750994682,0.23290098458528513,0.4904887080192566
segment,known_manipulation_labels,replay_rerecorded,ssl_emb_078,936,936,0.0,0.02250198233012919,0.02137129524963063,-0.035316627472639,0.0209287237375974,0.1119213104248046
segment,known_manipulation_labels,replay_rerecorded,ssl_emb_079,936,936,0.0,0.03251880254712774,0.020669953138677026,-0.0433744043111801,0.0321618746966123,0.1122430339455604
segment,known_manipulation_labels,replay_rerecorded,ssl_emb_080,936,936,0.0,-0.013091641801261697,0.02042655932231753,-0.1052699387073516,-0.01308685261756175,0.0796814709901809
segment,known_manipulation_labels,replay_rerecorded,ssl_emb_081,936,936,0.0,-0.01784194090949032,0.03284358977768401,-0.1341408342123031,-0.01770949643105265,0.0837110206484794
segment,known_manipulation_labels,replay_rerecorded,ssl_emb_082,936,936,0.0,0.039776010316041346,0.018166232322041544,-0.0650889724493026,0.040211090818047454,0.0916803926229476
segment,known_manipulation_labels,replay_rerecorded,ssl_emb_083,936,936,0.0,-0.01573397442731747,0.03013945676749221,-0.0957873463630676,-0.017916133627295452,0.0745366066694259
segment,known_manipulation_labels,replay_rerecorded,ssl_emb_084,936,936,0.0,0.005563187023918658,0.02087133614318565,-0.0674995332956314,0.004565290408208951,0.0686883851885795
segment,known_manipulation_labels,replay_rerecorded,ssl_emb_085,936,936,0.0,0.0586296993039398,0.018120709363454057,0.0002262059861095,0.058227548375725705,0.1146167069673538
segment,known_manipulation_labels,replay_rerecorded,ssl_emb_086,936,936,0.0,-0.024628470536069248,0.02139296776471274,-0.083142876625061,-0.02454968169331545,0.044421449303627
segment,known_manipulation_labels,replay_rerecorded,ssl_emb_087,936,936,0.0,-0.0001818818889360884,0.013284123232684979,-0.0395521335303783,-0.0003906310885213,0.0372550375759601
segment,known_manipulation_labels,replay_rerecorded,ssl_emb_088,936,936,0.0,-0.11869365465814846,0.08691222639905624,-0.4065979719161987,-0.1133598759770393,0.1971529126167297
segment,known_manipulation_labels,replay_rerecorded,ssl_emb_089,936,936,0.0,-0.029842449790723712,0.023223216202168495,-0.0868851915001869,-0.03181196376681325,0.1155765429139137
segment,known_manipulation_labels,replay_rerecorded,ssl_emb_090,936,936,0.0,-0.03705983995843045,0.016140339210026618,-0.094831995666027,-0.0372261051088571,0.0123254284262657
segment,known_manipulation_labels,replay_rerecorded,ssl_emb_091,936,936,0.0,0.020258018655940964,0.02568943232243548,-0.0526555776596069,0.01867676991969345,0.1698789149522781
segment,known_manipulation_labels,replay_rerecorded,ssl_emb_092,936,936,0.0,0.020120683299289784,0.021411556959436247,-0.0362406075000762,0.01962668355554335,0.1154471710324287
segment,known_manipulation_labels,replay_rerecorded,ssl_emb_093,936,936,0.0,-0.003802712596622692,0.022433367594130824,-0.0758224353194236,-0.00309341994579875,0.0714810416102409
segment,known_manipulation_labels,replay_rerecorded,ssl_emb_094,936,936,0.0,0.030151917915416635,0.016582552935572478,-0.0184957478195428,0.02982725203037255,0.107688695192337
segment,known_manipulation_labels,replay_rerecorded,ssl_emb_095,936,936,0.0,-0.1973994704994222,0.05368381195819079,-0.3918347358703613,-0.19529284536838526,-0.0275181550532579
segment,known_manipulation_labels,replay_rerecorded,ssl_emb_096,936,936,0.0,-0.023261391748272756,0.019602288065952968,-0.0748202875256538,-0.02303816284984345,0.0515968315303325
segment,known_manipulation_labels,replay_rerecorded,ssl_emb_097,936,936,0.0,0.07594851108564411,0.02291818074347722,0.004690206144005,0.07418468967080115,0.1813732832670211
segment,known_manipulation_labels,replay_rerecorded,ssl_emb_098,936,936,0.0,0.3374348561534196,0.14478417674092303,-0.0187914483249187,0.32520997524261475,1.146186113357544
segment,known_manipulation_labels,replay_rerecorded,ssl_emb_099,936,936,0.0,0.04504102115438745,0.01947972732749332,-0.021062359213829,0.045990321785211494,0.1123762503266334
segment,known_manipulation_labels,replay_rerecorded,ssl_emb_100,936,936,0.0,-0.03128637073645701,0.02462379952601089,-0.1007140651345253,-0.03269872628152365,0.0506730340421199
segment,known_manipulation_labels,replay_rerecorded,ssl_emb_101,936,936,0.0,-0.01753652247770074,0.029147288020861025,-0.1780735701322555,-0.016834276728332,0.0814159363508224
segment,known_manipulation_labels,replay_rerecorded,ssl_emb_102,936,936,0.0,-0.06466367313639323,0.10893911774621144,-0.6063984036445618,-0.05759585276246065,0.1813022494316101
segment,known_manipulation_labels,replay_rerecorded,ssl_emb_103,936,936,0.0,0.6525946184355988,0.15925205939446332,0.1428690254688263,0.6557325720787048,1.2188050746917725
segment,known_manipulation_labels,replay_rerecorded,ssl_emb_104,936,936,0.0,-0.03191431703297947,0.06100561407027538,-0.2143023312091827,-0.034529682248830754,0.2954096496105194
segment,known_manipulation_labels,replay_rerecorded,ssl_emb_105,936,936,0.0,0.02065606803200397,0.02240172396133043,-0.0527912676334381,0.02039592340588565,0.1215035989880561
segment,known_manipulation_labels,replay_rerecorded,ssl_emb_106,936,936,0.0,-0.012498117210278471,0.02102189753935181,-0.1493188589811325,-0.011645756661891899,0.0489188991487026
segment,known_manipulation_labels,replay_rerecorded,ssl_emb_107,936,936,0.0,-0.021641358457223252,0.026880953133278575,-0.1054162085056305,-0.02257991209626195,0.0474699549376964
segment,known_manipulation_labels,replay_rerecorded,ssl_emb_108,936,936,0.0,-0.031086095457520186,0.02481613949429896,-0.1312747746706009,-0.029392665252089452,0.0490264147520065
segment,known_manipulation_labels,replay_rerecorded,ssl_emb_109,936,936,0.0,0.043404309764716695,0.026636586545507428,-0.0180627200752496,0.0428682509809732,0.1631132513284683
segment,known_manipulation_labels,replay_rerecorded,ssl_emb_110,936,936,0.0,-0.051323190014799375,0.0194782532734173,-0.1509136259555816,-0.05097655393183225,0.0028530119452625
segment,known_manipulation_labels,replay_rerecorded,ssl_emb_111,936,936,0.0,0.006750682406762374,0.017832421439788,-0.0819870829582214,0.00832423288375135,0.0592522360384464
