scope,file_id,file_category,is_partial_file,segment_threshold,high_segment_fraction,top5_inside_hit,localized_oracle,broad_activation
test,phase7c1_collection_manifest_000032_ai_005_direct,ai_direct,False,0.95,0.037037037037037035,False,False,False
test,phase7c1_collection_manifest_000008_ai_002_direct,ai_direct,False,0.95,0.05,False,False,False
test,phase7c1_collection_manifest_000064_ai_009_direct,ai_direct,False,0.95,0.14285714285714285,False,False,False
test,phase7c1_collection_manifest_000104_ai_014_direct,ai_direct,False,0.95,0.0,False,False,False
test,phase7c1_collection_manifest_000108_human_014_clean,human_clean,False,0.95,0.0,False,False,False
test,phase7c1_collection_manifest_000164_human_021_clean,human_clean,False,0.95,0.0,False,False,False
test,phase7c1_collection_manifest_000067_ai_009_replay_laptop_mobile,ai_replay,False,0.95,0.0,False,False,False
test,phase7c1_collection_manifest_000015_human_002_replay_laptop_mobile,human_replay,False,0.95,0.0,False,False,False
test,phase7c1_collection_manifest_000107_ai_014_replay_laptop_mobile,ai_replay,False,0.95,0.0,False,False,False
test,phase7c1_collection_manifest_000163_ai_021_replay_laptop_mobile,ai_replay,False,0.95,0.0,False,False,False
test,phase7c1_collection_manifest_000111_human_014_replay_laptop_mobile,human_replay,False,0.95,0.0,False,False,False
test,phase7c1_collection_manifest_000039_human_005_replay_laptop_mobile,human_replay,False,0.95,0.0,False,False,False
test,phase7c1_collection_manifest_000167_human_021_replay_laptop_mobile,human_replay,False,0.95,0.0,False,False,False
test,phase7c1_collection_manifest_000011_ai_002_replay_laptop_mobile,ai_replay,False,0.95,0.0,False,False,False
test,phase7c1_collection_manifest_000035_ai_005_replay_laptop_mobile,ai_replay,False,0.95,0.0,False,False,False
test,phase7c1_collection_manifest_000071_human_009_replay_laptop_mobile,human_replay,False,0.95,0.0,False,False,False
test,phase7c1_collection_manifest_000106_ai_014_mixer_processed,ai_mixer,False,0.95,0.0,False,False,False
test,phase7c1_collection_manifest_000014_human_002_mixer_processed,human_mixer,False,0.95,0.0,False,False,False
test,phase7c1_collection_manifest_000110_human_014_mixer_processed,human_mixer,False,0.95,0.0,False,False,False
test,phase7c1_collection_manifest_000162_ai_021_mixer_processed,ai_mixer,False,0.95,0.0,False,False,False
test,phase7c1_collection_manifest_000066_ai_009_mixer_processed,ai_mixer,False,0.95,0.0,False,False,False
test,phase7c1_collection_manifest_000070_human_009_mixer_processed,human_mixer,False,0.95,0.0,False,False,False
test,phase7c1_collection_manifest_000038_human_005_mixer_processed,human_mixer,False,0.95,0.0,False,False,False
test,phase7c1_collection_manifest_000010_ai_002_mixer_processed,ai_mixer,False,0.95,0.0,False,False,False
test,phase7c1_collection_manifest_000166_human_021_mixer_processed,human_mixer,False,0.95,0.0,False,False,False
test,phase7c1_collection_manifest_000034_ai_005_mixer_processed,ai_mixer,False,0.95,0.03571428571428571,False,False,False
