group_dimension,group_value,feature,count,row_count,missing_percent,mean,std,min,median,max
known_manipulation_labels,replay_rerecorded,mfcc_1_std,0,936,100.0,,,,,
known_manipulation_labels,replay_rerecorded,mfcc_2_mean,0,936,100.0,,,,,
known_manipulation_labels,replay_rerecorded,mfcc_2_std,0,936,100.0,,,,,
known_manipulation_labels,replay_rerecorded,mfcc_3_mean,0,936,100.0,,,,,
known_manipulation_labels,replay_rerecorded,mfcc_3_std,0,936,100.0,,,,,
known_manipulation_labels,replay_rerecorded,mfcc_4_mean,0,936,100.0,,,,,
known_manipulation_labels,replay_rerecorded,mfcc_4_std,0,936,100.0,,,,,
known_manipulation_labels,replay_rerecorded,mfcc_5_mean,0,936,100.0,,,,,
known_manipulation_labels,replay_rerecorded,mfcc_5_std,0,936,100.0,,,,,
known_manipulation_labels,replay_rerecorded,mfcc_6_mean,0,936,100.0,,,,,
known_manipulation_labels,replay_rerecorded,mfcc_6_std,0,936,100.0,,,,,
known_manipulation_labels,replay_rerecorded,mfcc_7_mean,0,936,100.0,,,,,
known_manipulation_labels,replay_rerecorded,mfcc_7_std,0,936,100.0,,,,,
known_manipulation_labels,replay_rerecorded,mfcc_8_mean,0,936,100.0,,,,,
known_manipulation_labels,replay_rerecorded,mfcc_8_std,0,936,100.0,,,,,
known_manipulation_labels,replay_rerecorded,mfcc_9_mean,0,936,100.0,,,,,
known_manipulation_labels,replay_rerecorded,mfcc_9_std,0,936,100.0,,,,,
known_manipulation_labels,replay_rerecorded,mfcc_10_mean,0,936,100.0,,,,,
known_manipulation_labels,replay_rerecorded,mfcc_10_std,0,936,100.0,,,,,
known_manipulation_labels,replay_rerecorded,mfcc_11_mean,0,936,100.0,,,,,
known_manipulation_labels,replay_rerecorded,mfcc_11_std,0,936,100.0,,,,,
known_manipulation_labels,replay_rerecorded,mfcc_12_mean,0,936,100.0,,,,,
known_manipulation_labels,replay_rerecorded,mfcc_12_std,0,936,100.0,,,,,
known_manipulation_labels,replay_rerecorded,mfcc_13_mean,0,936,100.0,,,,,
known_manipulation_labels,replay_rerecorded,mfcc_13_std,0,936,100.0,,,,,
