task_name,feature_set,threshold,precision,recall,f1,false_positive_rate,false_negative_rate,tn,fp,fn,tp,fabricated_segment_detected_rate,outside_false_fabricated_rate
partial_segment_localizer_v2,combined,0.2,0.3761814744801512,0.8883928571428571,0.5285524568393094,0.08420515437611635,0.11160714285714286,3589,330,25,199,0.8883928571428571,0.08420515437611635
partial_segment_localizer_v2,combined,0.25,0.4061855670103093,0.8794642857142857,0.5557122708039492,0.073488134728247,0.12053571428571429,3631,288,27,197,0.8794642857142857,0.073488134728247
partial_segment_localizer_v2,combined,0.3,0.43946188340807174,0.875,0.5850746268656717,0.06379178361826997,0.125,3669,250,28,196,0.875,0.06379178361826997
partial_segment_localizer_v2,combined,0.35,0.46153846153846156,0.8571428571428571,0.6,0.05715743812196989,0.14285714285714285,3695,224,32,192,0.8571428571428571,0.05715743812196989
partial_segment_localizer_v2,combined,0.4,0.47869674185463656,0.8526785714285714,0.6131621187800963,0.05307476397040061,0.14732142857142858,3711,208,33,191,0.8526785714285714,0.05307476397040061
partial_segment_localizer_v2,combined,0.45,0.5066666666666667,0.8482142857142857,0.6343906510851419,0.04720591987751978,0.15178571428571427,3734,185,34,190,0.8482142857142857,0.04720591987751978
partial_segment_localizer_v2,combined,0.5,0.53125,0.8348214285714286,0.6493055555555556,0.042102577188058175,0.16517857142857142,3754,165,37,187,0.8348214285714286,0.042102577188058175
partial_segment_localizer_v2,combined,0.55,0.5531914893617021,0.8125,0.6582278481012658,0.03750956876754274,0.1875,3772,147,42,182,0.8125,0.03750956876754274
partial_segment_localizer_v2,combined,0.6,0.5682539682539682,0.7991071428571429,0.6641929499072357,0.03470273028833886,0.20089285714285715,3783,136,45,179,0.7991071428571429,0.03470273028833886
partial_segment_localizer_v2,combined,0.65,0.5836065573770491,0.7946428571428571,0.6729678638941399,0.03240622607808114,0.20535714285714285,3792,127,46,178,0.7946428571428571,0.03240622607808114
partial_segment_localizer_v2,combined,0.7,0.6161971830985915,0.78125,0.6889763779527559,0.027813217657565704,0.21875,3810,109,49,175,0.78125,0.027813217657565704
partial_segment_localizer_v2,combined,0.75,0.6564885496183206,0.7678571428571429,0.7078189300411523,0.022965042102577188,0.23214285714285715,3829,90,52,172,0.7678571428571429,0.022965042102577188
partial_segment_localizer_v2,combined,0.8,0.6816326530612244,0.7455357142857143,0.7121535181236673,0.01990303648890023,0.2544642857142857,3841,78,57,167,0.7455357142857143,0.01990303648890023
partial_segment_localizer_v2,combined,0.85,0.7155963302752294,0.6964285714285714,0.7058823529411765,0.015820362337330952,0.30357142857142855,3857,62,68,156,0.6964285714285714,0.015820362337330952
partial_segment_localizer_v2,combined,0.9,0.7562189054726368,0.6785714285714286,0.7152941176470589,0.012503189589180914,0.32142857142857145,3870,49,72,152,0.6785714285714286,0.012503189589180914
