task_name,feature_set,threshold,precision,recall,f1,false_positive_rate,false_negative_rate,tn,fp,fn,tp,partial_detected_rate,non_partial_false_alarm_rate
partial_file_candidate_model,ssl,0.65,0.6666666666666666,0.7391304347826086,0.7010309278350515,0.12318840579710146,0.2608695652173913,121,17,12,34,0.7391304347826086,0.12318840579710146
partial_file_candidate_model,ssl,0.7,0.6875,0.717391304347826,0.7021276595744681,0.10869565217391304,0.2826086956521739,123,15,13,33,0.717391304347826,0.10869565217391304
partial_file_candidate_model,ssl,0.75,0.7209302325581395,0.6739130434782609,0.6966292134831461,0.08695652173913043,0.32608695652173914,126,12,15,31,0.6739130434782609,0.08695652173913043
partial_file_candidate_model,ssl,0.8,0.7222222222222222,0.5652173913043478,0.6341463414634146,0.07246376811594203,0.43478260869565216,128,10,20,26,0.5652173913043478,0.07246376811594203
partial_file_candidate_model,ssl,0.85,0.7931034482758621,0.5,0.6133333333333333,0.043478260869565216,0.5,132,6,23,23,0.5,0.043478260869565216
partial_file_candidate_model,ssl,0.9,0.782608695652174,0.391304347826087,0.5217391304347826,0.036231884057971016,0.6086956521739131,133,5,28,18,0.391304347826087,0.036231884057971016
partial_file_candidate_model,combined,0.1,0.44,0.9565217391304348,0.6027397260273972,0.4057971014492754,0.043478260869565216,82,56,2,44,0.9565217391304348,0.4057971014492754
partial_file_candidate_model,combined,0.15,0.4888888888888889,0.9565217391304348,0.6470588235294118,0.3333333333333333,0.043478260869565216,92,46,2,44,0.9565217391304348,0.3333333333333333
partial_file_candidate_model,combined,0.2,0.5176470588235295,0.9565217391304348,0.6717557251908397,0.2971014492753623,0.043478260869565216,97,41,2,44,0.9565217391304348,0.2971014492753623
partial_file_candidate_model,combined,0.25,0.55,0.9565217391304348,0.6984126984126984,0.2608695652173913,0.043478260869565216,102,36,2,44,0.9565217391304348,0.2608695652173913
partial_file_candidate_model,combined,0.3,0.5789473684210527,0.9565217391304348,0.7213114754098361,0.2318840579710145,0.043478260869565216,106,32,2,44,0.9565217391304348,0.2318840579710145
partial_file_candidate_model,combined,0.35,0.5753424657534246,0.9130434782608695,0.7058823529411765,0.2246376811594203,0.08695652173913043,107,31,4,42,0.9130434782608695,0.2246376811594203
partial_file_candidate_model,combined,0.4,0.5857142857142857,0.8913043478260869,0.7068965517241379,0.21014492753623187,0.10869565217391304,109,29,5,41,0.8913043478260869,0.21014492753623187
partial_file_candidate_model,combined,0.45,0.6060606060606061,0.8695652173913043,0.7142857142857143,0.18840579710144928,0.13043478260869565,112,26,6,40,0.8695652173913043,0.18840579710144928
partial_file_candidate_model,combined,0.5,0.6229508196721312,0.8260869565217391,0.7102803738317757,0.16666666666666666,0.17391304347826086,115,23,8,38,0.8260869565217391,0.16666666666666666
partial_file_candidate_model,combined,0.55,0.6428571428571429,0.782608695652174,0.7058823529411765,0.14492753623188406,0.21739130434782608,118,20,10,36,0.782608695652174,0.14492753623188406
partial_file_candidate_model,combined,0.6,0.66,0.717391304347826,0.6875,0.12318840579710146,0.2826086956521739,121,17,13,33,0.717391304347826,0.12318840579710146
partial_file_candidate_model,combined,0.65,0.6818181818181818,0.6521739130434783,0.6666666666666666,0.10144927536231885,0.34782608695652173,124,14,16,30,0.6521739130434783,0.10144927536231885
partial_file_candidate_model,combined,0.7,0.7073170731707317,0.6304347826086957,0.6666666666666666,0.08695652173913043,0.3695652173913043,126,12,17,29,0.6304347826086957,0.08695652173913043
partial_file_candidate_model,combined,0.75,0.7368421052631579,0.6086956521739131,0.6666666666666666,0.07246376811594203,0.391304347826087,128,10,18,28,0.6086956521739131,0.07246376811594203
partial_file_candidate_model,combined,0.8,0.7297297297297297,0.5869565217391305,0.6506024096385542,0.07246376811594203,0.41304347826086957,128,10,19,27,0.5869565217391305,0.07246376811594203
partial_file_candidate_model,combined,0.85,0.7058823529411765,0.5217391304347826,0.6,0.07246376811594203,0.4782608695652174,128,10,22,24,0.5217391304347826,0.07246376811594203
partial_file_candidate_model,combined,0.9,0.6153846153846154,0.34782608695652173,0.4444444444444444,0.07246376811594203,0.6521739130434783,128,10,30,16,0.34782608695652173,0.07246376811594203
