task_name,feature_set,file_id,file_category,is_partial_file,segment_count,segment_threshold,high_segment_fraction_at_threshold,top1_inside_true_region,top3_any_inside_true_region,top5_any_inside_true_region,top5_inside_count,best_rank_inside_region,max_prob_inside,mean_prob_inside,max_prob_outside,mean_prob_outside,inside_minus_outside_mean,false_high_segment_count,false_high_segment_rate,broad_false_activation_flag,broad_activation_flag,localized_pattern_supported
partial_segment_localizer_v2,combined,phase7c1_collection_manifest_000097_ai_013_fabricated,ai_fabricated,true,31,0.5,0.22580645161290322,true,true,true,5,1,0.9999856973798452,0.9961272257310897,0.6727812510512554,0.06785602397599699,0.9282712017550927,,,,false,true
partial_segment_localizer_v2,combined,phase7c1_collection_manifest_000098_ai_013_mixer_processed,ai_mixer,false,27,0.5,0.0,,,,,,,,0.0104476196984401,0.0004194990277419423,,0,0.0,false,false,
partial_segment_localizer_v2,combined,phase7c1_collection_manifest_000099_ai_013_replay_laptop_mobile,ai_replay,false,30,0.5,0.1,,,,,,,,0.9999988323024106,0.11391574354870682,,3,0.1,false,false,
partial_segment_localizer_v2,combined,phase7c1_collection_manifest_000100_human_013_clean,human_clean,false,19,0.5,0.10526315789473684,,,,,,,,0.8993058733821508,0.10863876931427277,,2,0.10526315789473684,false,false,
partial_segment_localizer_v2,combined,phase7c1_collection_manifest_000101_human_013_fabricated,human_fabricated,true,23,0.5,0.2608695652173913,true,true,true,5,1,0.9998126757397644,0.9518492399794297,0.6605634052341623,0.09571128017934301,0.8561379598000867,,,,false,true
partial_segment_localizer_v2,combined,phase7c1_collection_manifest_000102_human_013_mixer_processed,human_mixer,false,19,0.5,0.0,,,,,,,,0.028419673992704,0.004427501508226999,,0,0.0,false,false,
partial_segment_localizer_v2,combined,phase7c1_collection_manifest_000103_human_013_replay_laptop_mobile,human_replay,false,19,0.5,0.0,,,,,,,,9.5846210547984e-06,9.964637635775912e-07,,0,0.0,false,false,
partial_segment_localizer_v2,combined,phase7c1_collection_manifest_000104_ai_014_direct,ai_direct,false,23,0.5,0.0,,,,,,,,0.2124863537370992,0.01368627473086687,,0,0.0,false,false,
partial_segment_localizer_v2,combined,phase7c1_collection_manifest_000105_ai_014_fabricated,ai_fabricated,true,27,0.5,0.2222222222222222,true,true,true,5,1,0.9997188965664332,0.9800593733492098,0.7842089458209642,0.06739947538796091,0.9126598979612489,,,,false,true
partial_segment_localizer_v2,combined,phase7c1_collection_manifest_000106_ai_014_mixer_processed,ai_mixer,false,23,0.5,0.0,,,,,,,,0.0061277157940368,0.0003470348954458869,,0,0.0,false,false,
