scope,n,tp,tn,fp,fn,accuracy,balanced_accuracy,precision,recall,specificity,fpr,fnr,f1,threshold
dev,40,22,9,1,8,0.775,0.8166666666666667,0.9565217391304348,0.7333333333333333,0.9,0.1,0.26666666666666666,0.8301886792452831,0.65
dev,40,22,9,1,8,0.775,0.8166666666666667,0.9565217391304348,0.7333333333333333,0.9,0.1,0.26666666666666666,0.8301886792452831,0.66
dev,40,22,9,1,8,0.775,0.8166666666666667,0.9565217391304348,0.7333333333333333,0.9,0.1,0.26666666666666666,0.8301886792452831,0.67
dev,40,22,9,1,8,0.775,0.8166666666666667,0.9565217391304348,0.7333333333333333,0.9,0.1,0.26666666666666666,0.8301886792452831,0.68
dev,40,22,9,1,8,0.775,0.8166666666666667,0.9565217391304348,0.7333333333333333,0.9,0.1,0.26666666666666666,0.8301886792452831,0.69
dev,40,22,9,1,8,0.775,0.8166666666666667,0.9565217391304348,0.7333333333333333,0.9,0.1,0.26666666666666666,0.8301886792452831,0.7
dev,40,22,9,1,8,0.775,0.8166666666666667,0.9565217391304348,0.7333333333333333,0.9,0.1,0.26666666666666666,0.8301886792452831,0.71
dev,40,22,9,1,8,0.775,0.8166666666666667,0.9565217391304348,0.7333333333333333,0.9,0.1,0.26666666666666666,0.8301886792452831,0.72
dev,40,22,9,1,8,0.775,0.8166666666666667,0.9565217391304348,0.7333333333333333,0.9,0.1,0.26666666666666666,0.8301886792452831,0.73
dev,40,21,9,1,9,0.75,0.8,0.9545454545454546,0.7,0.9,0.1,0.3,0.8076923076923077,0.74
dev,40,21,9,1,9,0.75,0.8,0.9545454545454546,0.7,0.9,0.1,0.3,0.8076923076923077,0.75
dev,40,20,9,1,10,0.725,0.7833333333333333,0.9523809523809523,0.6666666666666666,0.9,0.1,0.3333333333333333,0.7843137254901961,0.76
dev,40,20,9,1,10,0.725,0.7833333333333333,0.9523809523809523,0.6666666666666666,0.9,0.1,0.3333333333333333,0.7843137254901961,0.77
dev,40,20,9,1,10,0.725,0.7833333333333333,0.9523809523809523,0.6666666666666666,0.9,0.1,0.3333333333333333,0.7843137254901961,0.78
dev,40,19,10,0,11,0.725,0.8166666666666667,1.0,0.6333333333333333,1.0,0.0,0.36666666666666664,0.7755102040816326,0.79
dev,40,19,10,0,11,0.725,0.8166666666666667,1.0,0.6333333333333333,1.0,0.0,0.36666666666666664,0.7755102040816326,0.8
dev,40,19,10,0,11,0.725,0.8166666666666667,1.0,0.6333333333333333,1.0,0.0,0.36666666666666664,0.7755102040816326,0.81
dev,40,19,10,0,11,0.725,0.8166666666666667,1.0,0.6333333333333333,1.0,0.0,0.36666666666666664,0.7755102040816326,0.82
dev,40,19,10,0,11,0.725,0.8166666666666667,1.0,0.6333333333333333,1.0,0.0,0.36666666666666664,0.7755102040816326,0.83
dev,40,19,10,0,11,0.725,0.8166666666666667,1.0,0.6333333333333333,1.0,0.0,0.36666666666666664,0.7755102040816326,0.84
dev,40,19,10,0,11,0.725,0.8166666666666667,1.0,0.6333333333333333,1.0,0.0,0.36666666666666664,0.7755102040816326,0.85
