schema_version,file_id,segment_id,audio_path,start_sec,end_sec,segment_duration_sec,feature_source,extraction_status,warning_message,rms_mean,rms_std,peak_amplitude,zero_crossing_rate_mean,clipping_ratio,silence_ratio,spectral_centroid_mean,spectral_bandwidth_mean,spectral_rolloff_mean,spectral_flatness_mean,spectral_contrast_mean,low_band_energy_ratio,mid_band_energy_ratio,high_band_energy_ratio,very_high_band_energy_ratio,noise_floor_proxy,snr_proxy,dynamic_range_proxy,spectral_entropy_mean,bandwidth_occupied_95,mfcc_1_mean,mfcc_1_std,mfcc_2_mean,mfcc_2_std,mfcc_3_mean,mfcc_3_std,mfcc_4_mean,mfcc_4_std,mfcc_5_mean,mfcc_5_std,mfcc_6_mean,mfcc_6_std,mfcc_7_mean,mfcc_7_std,mfcc_8_mean,mfcc_8_std,mfcc_9_mean,mfcc_9_std,mfcc_10_mean,mfcc_10_std,mfcc_11_mean,mfcc_11_std,mfcc_12_mean,mfcc_12_std,mfcc_13_mean,mfcc_13_std
phase8c_v1,phase7c1_collection_manifest_000001_ai_001_fabricated,phase7c1_collection_manifest_000001_ai_001_fabricated_w0002,data/phase7c1/raw/ai_fabricated/ai_001_fabricated.wav,4.0,8.0,4.0,phase8c_acoustic_librosa,ok,,0.080806337,0.071859553,0.72931969,0.1043333,0,0,1485.6995,1542.2969,2756.1384,0.023075433,,0.6098195,0.36595277,0.024227735,,0.00013006269,1457.2033,0.25618458,3.9524894,0.11523438,,,,,,,,,,,,,,,,,,,,,,,,,,
phase8c_v1,phase7c1_collection_manifest_000001_ai_001_fabricated,phase7c1_collection_manifest_000001_ai_001_fabricated_w0003,data/phase7c1/raw/ai_fabricated/ai_001_fabricated.wav,6.0,10.0,4.0,phase8c_acoustic_librosa,ok,,0.08521571,0.062468976,0.76498002,0.10529049,0,0.031746032,1489.5737,1492.2997,2766.9891,0.026615041,,0.59423804,0.3839061,0.021855854,,0.00014464106,1164.1238,0.19452456,3.9464568,0.14306641,,,,,,,,,,,,,,,,,,,,,,,,,,
phase8c_v1,phase7c1_collection_manifest_000001_ai_001_fabricated,phase7c1_collection_manifest_000001_ai_001_fabricated_w0004,data/phase7c1/raw/ai_fabricated/ai_001_fabricated.wav,8.0,12.0,4.0,phase8c_acoustic_librosa,ok,,0.065963119,0.064789899,0.76498002,0.13936167,0,0.071428571,1779.6381,1577.0663,3195.0645,0.039167896,,0.60205142,0.35081883,0.047129747,,0.00010891918,1557.2636,0.19895698,4.2848042,0.31396484,,,,,,,,,,,,,,,,,,,,,,,,,,
phase8c_v1,phase7c1_collection_manifest_000001_ai_001_fabricated,phase7c1_collection_manifest_000001_ai_001_fabricated_w0005,data/phase7c1/raw/ai_fabricated/ai_001_fabricated.wav,10.0,14.0,4.0,phase8c_acoustic_librosa,ok,,0.070738606,0.057765663,0.79494113,0.1261122,0,0.03968254,1619.8044,1460.4207,2885.4787,0.030673686,,0.65668048,0.29576522,0.047554297,,0.0001222062,1224.7592,0.19958907,4.1193781,0.31787109,,,,,,,,,,,,,,,,,,,,,,,,,,
phase8c_v1,phase7c1_collection_manifest_000001_ai_001_fabricated,phase7c1_collection_manifest_000001_ai_001_fabricated_w0006,data/phase7c1/raw/ai_fabricated/ai_001_fabricated.wav,12.0,16.0,4.0,phase8c_acoustic_librosa,ok,,0.087475009,0.046964422,0.79494113,0.099217975,0,0,1364.4952,1325.519,2529.7619,0.019852825,,0.66251216,0.31360134,0.023886502,,0.027218483,5.8335953,0.19748148,3.8877258,0.20898438,,,,,,,,,,,,,,,,,,,,,,,,,,
phase8c_v1,phase7c1_collection_manifest_000001_ai_001_fabricated,phase7c1_collection_manifest_000001_ai_001_fabricated_w0007,data/phase7c1/raw/ai_fabricated/ai_001_fabricated.wav,14.0,18.0,4.0,phase8c_acoustic_librosa,ok,,0.061799377,0.047694433,0.80200374,0.092149523,0,0.071428571,1392.7091,1503.3162,2823.2887,0.019669649,,0.52627611,0.4578376,0.015886287,,0.00013214751,1041.535,0.18087843,3.7079524,0.20458984,,,,,,,,,,,,,,,,,,,,,,,,,,
phase8c_v1,phase7c1_collection_manifest_000001_ai_001_fabricated,phase7c1_collection_manifest_000001_ai_001_fabricated_w0008,data/phase7c1/raw/ai_fabricated/ai_001_fabricated.wav,16.0,20.0,4.0,phase8c_acoustic_librosa,ok,,0.040244315,0.039390359,0.80200374,0.092467293,0,0.063492063,1422.5654,1597.6595,2936.6939,0.016134182,,0.36386442,0.62863949,0.0074960911,,0.00014015503,642.7022,0.17080827,3.6833747,0.20019531,,,,,,,,,,,,,,,,,,,,,,,,,,
phase8c_v1,phase7c1_collection_manifest_000001_ai_001_fabricated,phase7c1_collection_manifest_000001_ai_001_fabricated_w0009,data/phase7c1/raw/ai_fabricated/ai_001_fabricated.wav,18.0,22.0,4.0,phase8c_acoustic_librosa,ok,,0.050449263,0.02955026,0.64205158,0.11106848,0,0,1580.3962,1585.1605,3013.2688,0.024928017,,0.38558249,0.603399,0.01101851,,0.013361944,6.68472,0.13709283,3.7558588,0.21875,,,,,,,,,,,,,,,,,,,,,,,,,,
phase8c_v1,phase7c1_collection_manifest_000001_ai_001_fabricated,phase7c1_collection_manifest_000001_ai_001_fabricated_w0010,data/phase7c1/raw/ai_fabricated/ai_001_fabricated.wav,20.0,24.0,4.0,phase8c_acoustic_librosa,ok,,0.057701323,0.027558079,0.54889518,0.10450381,0,0,1508.3705,1520.9114,2794.2708,0.021583456,,0.34431175,0.6468987,0.0087895404,,0.017633583,5.269762,0.11442334,3.6838012,0.20849609,,,,,,,,,,,,,,,,,,,,,,,,,,
phase8c_v1,phase7c1_collection_manifest_000001_ai_001_fabricated,phase7c1_collection_manifest_000001_ai_001_fabricated_w0011,data/phase7c1/raw/ai_fabricated/ai_001_fabricated.wav,22.0,26.0,4.0,phase8c_acoustic_librosa,ok,,0.054450728,0.023698876,0.51041836,0.088425409,0,0,1327.9266,1392.3197,2437.5,0.010264023,,0.26839058,0.72852304,0.0030863864,,0.019124843,4.1734673,0.11443608,3.6769805,0.20800781,,,,,,,,,,,,,,,,,,,,,,,,,,
